repetition;rr_index;rpeak_start_sample;rpeak_end_sample;rr_interval_ms;instant_hr_bpm;local_sdnn_ms;local_rmssd_ms;is_valid;invalid_reason;label;gesture_id;gesture_name
1;0;524;922;796.00;75.38;16.04;25.96;1;valid;REST;-1;REST
1;1;922;1336;828.00;72.46;13.52;21.69;1;valid;REST;-1;REST
1;2;1336;1741;810.00;74.07;12.38;20.05;1;valid;REST;-1;REST
1;3;1741;2150;818.00;73.35;22.05;20.86;1;valid;REST;-1;REST
1;4;2150;2552;804.00;74.63;31.20;22.87;1;valid;REST;-1;REST
1;5;2552;2937;770.00;77.92;29.00;28.83;1;valid;REST;-1;REST
1;6;2937;3309;744.00;80.65;26.74;31.73;1;valid;REST;-1;REST
1;7;3309;3699;780.00;76.92;30.18;27.09;1;valid;REST;-1;REST
1;8;3699;4104;810.00;74.07;29.31;26.19;1;valid;REST;-1;REST
1;9;4104;4513;818.00;73.35;15.58;21.05;1;valid;REST;-1;REST
1;10;4513;4911;796.00;75.38;19.92;23.28;1;valid;REST;-1;REST
1;11;4911;5318;814.00;73.71;20.25;24.64;1;valid;REST;-1;REST
1;12;5318;5743;850.00;70.59;20.52;22.05;1;valid;REST;-1;REST
1;13;5743;6159;832.00;72.12;17.24;23.96;1;valid;REST;-1;REST
1;14;6159;6575;832.00;72.12;31.86;24.72;1;valid;REST;-1;REST
1;15;6575;6978;806.00;74.44;55.54;41.06;1;valid;REST;-1;REST
1;16;6978;7362;768.00;78.12;69.76;101.66;1;valid;REST;-1;REST
1;17;7362;7712;700.00;85.71;67.90;116.82;1;valid;REST;-1;REST
1;18;7712;8155;886.00;67.72;67.25;115.27;1;valid;REST;-1;REST
1;19;8155;8539;768.00;78.12;68.74;112.73;1;valid;REST;-1;REST
1;20;8539;8922;766.00;78.33;48.96;63.77;1;valid;REST;-1;REST
1;21;8922;9329;814.00;73.71;30.31;24.72;1;valid;REST;-1;REST
1;22;9329;9739;820.00;73.17;25.71;24.88;1;valid;REST;-1;REST
1;23;9739;10154;830.00;72.29;9.23;9.59;1;valid;REST;-1;REST
1;24;10154;10566;824.00;72.82;6.84;10.91;1;valid;REST;-1;REST
1;25;10566;10985;838.00;71.60;19.32;21.33;1;valid;REST;-1;REST
1;26;10985;11398;826.00;72.64;28.80;22.96;1;valid;REST;-1;REST
1;27;11398;11792;788.00;76.14;27.78;25.96;1;valid;REST;-1;REST
1;28;11792;12177;770.00;77.92;20.47;25.34;1;valid;REST;-1;REST
1;29;12177;12576;798.00;75.19;12.38;18.17;1;valid;REST;-1;REST
1;30;12576;12977;802.00;74.81;25.35;28.72;1;valid;REST;-1;REST
1;31;12977;13371;788.00;76.14;41.34;29.75;1;valid;REST;-1;REST
1;32;13371;13741;740.00;81.08;56.56;78.80;1;valid;REST;-1;REST
1;33;13741;14095;708.00;84.75;55.07;89.98;1;valid;REST;-1;REST
1;34;14095;14522;854.00;70.26;54.49;86.87;1;valid;REST;-1;REST
1;35;14522;14905;766.00;78.33;53.02;85.39;1;valid;REST;-1;REST
1;36;14905;15283;756.00;79.37;44.53;44.84;1;valid;REST;-1;REST
1;37;15283;15662;758.00;79.16;14.04;11.14;1;valid;REST;-1;REST
1;38;15662;16034;744.00;80.65;22.24;16.37;1;valid;REST;-1;REST
1;39;16034;16399;730.00;82.19;25.64;16.61;1;valid;REST;-1;REST
1;40;16399;16751;704.00;85.23;19.42;21.98;1;valid;REST;-1;REST
1;41;16751;17100;698.00;85.96;33.96;34.10;1;valid;REST;-1;REST
1;42;17100;17465;730.00;82.19;45.29;32.09;1;valid;REST;-1;REST
1;43;17465;17857;784.00;76.53;40.87;34.13;1;valid;REST;-1;REST
1;44;17857;18255;796.00;75.38;27.55;33.24;1;valid;REST;-1;REST
1;45;18255;18641;772.00;77.72;20.90;20.30;1;valid;REST;-1;REST
1;46;18641;19013;744.00;80.65;20.59;23.35;1;valid;REST;-1;REST
1;47;19013;19391;756.00;79.37;18.79;20.42;1;valid;REST;-1;REST
1;48;19391;19782;782.00;76.73;19.46;22.58;1;valid;REST;-1;REST
1;49;19782;20177;790.00;75.95;18.41;22.14;1;valid;REST;-1;REST
1;50;20177;20555;756.00;79.37;17.52;20.05;1;valid;REST;-1;REST
1;51;20555;20929;748.00;80.21;21.61;25.98;1;valid;REST;-1;REST
1;52;20929;21312;766.00;78.33;31.41;30.25;1;valid;REST;-1;REST
1;53;21312;21678;732.00;81.97;68.89;97.71;1;valid;REST;-1;REST
1;54;21678;22021;686.00;87.46;70.38;103.74;1;valid;REST;-1;REST
1;55;22021;22457;872.00;68.81;70.42;103.91;1;valid;REST;-1;REST
1;56;22457;22857;800.00;75.00;67.11;101.41;1;valid;REST;-1;REST
1;57;22857;23239;764.00;78.53;47.67;41.44;1;valid;REST;-1;REST
1;58;23239;23625;772.00;77.72;23.65;22.41;1;valid;REST;-1;REST
1;59;23625;24002;754.00;79.58;17.92;13.67;1;valid;REST;-1;REST
1;60;24002;24370;736.00;81.52;16.46;16.46;1;valid;REST;-1;REST
1;61;24370;24735;730.00;82.19;14.39;15.94;1;valid;REST;-1;REST
1;62;24735;25110;750.00;80.00;17.15;13.19;1;valid;REST;-1;REST
1;63;25110;25493;766.00;78.33;16.25;12.88;1;valid;GESTURE;9;Flexion of Thumb
1;64;25493;25877;768.00;78.12;17.87;21.59;1;valid;GESTURE;9;Flexion of Thumb
1;65;25877;26260;766.00;78.33;21.75;20.07;1;valid;GESTURE;9;Flexion of Thumb
1;66;26260;26623;726.00;82.64;27.15;22.87;1;valid;GESTURE;9;Flexion of Thumb
1;67;26623;26987;728.00;82.42;24.51;22.85;1;valid;GESTURE;9;Flexion of Thumb
1;68;26987;27340;706.00;84.99;10.53;12.12;1;valid;GESTURE;9;Flexion of Thumb
1;69;27340;27693;706.00;84.99;12.12;14.49;1;valid;GESTURE;9;Flexion of Thumb
1;70;27693;28051;716.00;83.80;11.37;10.25;1;valid;GESTURE;9;Flexion of Thumb
1;71;28051;28417;732.00;81.97;27.04;27.95;1;valid;GESTURE;9;Flexion of Thumb
1;72;28417;28779;724.00;82.87;37.20;30.41;1;valid;GESTURE;9;Flexion of Thumb
1;73;28779;29167;776.00;77.32;42.77;31.00;1;valid;GESTURE;9;Flexion of Thumb
1;74;29167;29568;802.00;74.81;36.86;39.00;1;valid;GESTURE;9;Flexion of Thumb
1;75;29568;29979;822.00;72.99;33.90;35.86;1;valid;GESTURE;9;Flexion of Thumb
1;76;29979;30366;774.00;77.52;44.42;34.15;1;valid;GESTURE;9;Flexion of Thumb
1;77;30366;30732;732.00;81.97;45.37;32.66;1;valid;GESTURE;9;Flexion of Thumb
1;78;30732;31091;718.00;83.57;30.82;25.69;1;valid;GESTURE;9;Flexion of Thumb
1;79;31091;31449;716.00;83.80;27.76;20.37;1;valid;GESTURE;9;Flexion of Thumb
1;80;31449;31794;690.00;86.96;24.23;20.74;1;valid;GESTURE;9;Flexion of Thumb
1;81;31794;32125;662.00;90.63;32.05;31.70;1;valid;REST;-1;REST
1;82;32125;32464;678.00;88.50;55.32;79.45;1;valid;REST;-1;REST
1;83;32464;32779;630.00;95.24;55.71;86.95;1;valid;REST;-1;REST
1;84;32779;33168;778.00;77.12;54.45;87.05;1;valid;REST;-1;REST
1;85;33168;33519;702.00;85.47;58.56;86.52;1;valid;REST;-1;REST
1;86;33519;33879;720.00;83.33;31.45;45.22;1;valid;GESTURE;9;Flexion of Thumb
1;87;33879;34261;764.00;78.53;24.74;26.48;1;valid;GESTURE;9;Flexion of Thumb
1;88;34261;34637;752.00;79.79;17.30;24.98;1;valid;GESTURE;9;Flexion of Thumb
1;89;34637;35003;732.00;81.97;14.67;12.21;1;valid;GESTURE;9;Flexion of Thumb
1;90;35003;35371;736.00;81.52;15.77;15.30;1;valid;GESTURE;9;Flexion of Thumb
1;91;35371;35736;730.00;82.19;10.95;14.07;1;valid;GESTURE;9;Flexion of Thumb
1;92;35736;36090;708.00;84.75;11.10;14.49;1;valid;GESTURE;9;Flexion of Thumb
1;93;36090;36452;724.00;82.87;13.39;17.35;1;valid;GESTURE;9;Flexion of Thumb
1;94;36452;36810;716.00;83.80;10.43;16.16;1;valid;GESTURE;9;Flexion of Thumb
1;95;36810;37158;696.00;86.21;18.14;21.28;1;valid;GESTURE;9;Flexion of Thumb
1;96;37158;37515;714.00;84.03;18.14;23.62;1;valid;GESTURE;9;Flexion of Thumb
1;97;37515;37888;746.00;80.43;20.56;23.22;1;valid;GESTURE;9;Flexion of Thumb
1;98;37888;38250;724.00;82.87;13.08;22.23;1;valid;GESTURE;9;Flexion of Thumb
1;99;38250;38621;742.00;80.86;9.01;15.46;1;valid;GESTURE;9;Flexion of Thumb
1;100;38621;38986;730.00;82.19;6.48;10.86;1;valid;GESTURE;9;Flexion of Thumb
1;101;38986;39352;732.00;81.97;5.90;7.87;1;valid;GESTURE;9;Flexion of Thumb
1;102;39352;39718;732.00;81.97;4.69;6.48;1;valid;GESTURE;9;Flexion of Thumb
1;103;39718;40089;742.00;80.86;10.26;11.87;1;valid;GESTURE;9;Flexion of Thumb
1;104;40089;40456;734.00;81.74;37.43;34.13;1;valid;REST;-1;REST
1;105;40456;40813;714.00;84.03;52.11;35.83;1;valid;REST;-1;REST
1;106;40813;41138;650.00;92.31;57.87;38.26;1;valid;REST;-1;REST
1;107;41138;41451;626.00;95.85;48.53;36.95;1;valid;REST;-1;REST
1;108;41451;41750;598.00;100.33;22.45;19.75;1;valid;REST;-1;REST
1;109;41750;42048;596.00;100.67;15.62;18.60;1;valid;REST;-1;REST
1;110;42048;42353;610.00;98.36;19.52;13.23;1;valid;REST;-1;REST
1;111;42353;42668;630.00;95.24;37.66;30.05;1;valid;REST;-1;REST
1;112;42668;42988;640.00;93.75;46.90;32.40;1;valid;REST;-1;REST
1;113;42988;43335;694.00;86.46;39.41;48.16;1;valid;REST;-1;REST
1;114;43335;43696;722.00;83.10;64.85;89.83;1;valid;REST;-1;REST
1;115;43696;44020;648.00;92.59;55.95;100.22;1;valid;REST;-1;REST
1;116;44020;44420;800.00;75.00;57.66;99.65;1;valid;REST;-1;REST
1;117;44420;44768;696.00;86.21;59.99;98.57;1;valid;REST;-1;REST
1;118;44768;45107;678.00;88.50;49.59;63.29;1;valid;REST;-1;REST
1;119;45107;45480;746.00;80.43;40.11;36.12;1;valid;GESTURE;6;Cut Something
1;120;45480;45861;762.00;78.74;42.89;37.32;1;valid;GESTURE;6;Cut Something
1;121;45861;46244;766.00;78.33;26.91;18.92;1;valid;GESTURE;6;Cut Something
1;122;46244;46640;792.00;75.76;21.10;24.15;1;valid;GESTURE;6;Cut Something
1;123;46640;47047;814.00;73.71;28.46;31.94;1;valid;GESTURE;6;Cut Something
1;124;47047;47437;780.00;76.92;30.55;30.00;1;valid;GESTURE;6;Cut Something
1;125;47437;47806;738.00;81.30;31.83;28.35;1;valid;GESTURE;6;Cut Something
1;126;47806;48182;752.00;79.79;17.12;22.69;1;valid;GESTURE;6;Cut Something
1;127;48182;48553;742.00;80.86;5.55;9.11;1;valid;GESTURE;6;Cut Something
1;128;48553;48924;742.00;80.86;7.56;9.90;1;valid;GESTURE;6;Cut Something
1;129;48924;49298;748.00;80.21;8.83;9.06;1;valid;GESTURE;6;Cut Something
1;130;49298;49664;732.00;81.97;9.10;12.77;1;valid;GESTURE;6;Cut Something
1;131;49664;50027;726.00;82.64;12.76;14.25;1;valid;GESTURE;6;Cut Something
1;132;50027;50399;744.00;80.65;12.38;13.71;1;valid;GESTURE;6;Cut Something
1;133;50399;50778;758.00;79.16;15.32;17.97;1;valid;GESTURE;6;Cut Something
1;134;50778;51150;744.00;80.65;13.67;19.05;1;valid;GESTURE;6;Cut Something
1;135;51150;51510;720.00;83.33;17.05;20.86;1;valid;GESTURE;6;Cut Something
1;136;51510;51881;742.00;80.86;35.57;31.80;1;valid;GESTURE;6;Cut Something
1;137;51881;52263;764.00;78.53;46.25;30.27;1;valid;REST;-1;REST
1;138;52263;52670;814.00;73.71;35.25;35.76;1;valid;REST;-1;REST
1;139;52670;53084;828.00;72.46;29.18;35.47;1;valid;REST;-1;REST
1;140;53084;53476;784.00;76.53;26.51;26.12;1;valid;REST;-1;REST
1;141;53476;53858;764.00;78.53;24.02;25.34;1;valid;GESTURE;6;Cut Something
1;142;53858;54247;778.00;77.12;12.62;18.81;1;valid;GESTURE;6;Cut Something
1;143;54247;54639;784.00;76.53;14.38;16.22;1;valid;GESTURE;6;Cut Something
1;144;54639;55017;756.00;79.37;15.14;20.25;1;valid;GESTURE;6;Cut Something
1;145;55017;55392;750.00;80.00;17.63;20.90;1;valid;GESTURE;6;Cut Something
1;146;55392;55781;778.00;77.12;16.47;20.90;1;valid;GESTURE;6;Cut Something
1;147;55781;56176;790.00;75.95;16.47;23.43;1;valid;GESTURE;6;Cut Something
1;148;56176;56557;762.00;78.74;11.63;19.03;1;valid;GESTURE;6;Cut Something
1;149;56557;56949;784.00;76.53;12.00;19.75;1;valid;GESTURE;6;Cut Something
1;150;56949;57344;790.00;75.95;10.68;14.25;1;valid;GESTURE;6;Cut Something
1;151;57344;57731;774.00;77.52;5.90;9.27;1;valid;GESTURE;6;Cut Something
1;152;57731;58121;780.00;76.92;8.56;11.87;1;valid;GESTURE;6;Cut Something
1;153;58121;58513;784.00;76.53;6.26;10.63;1;valid;GESTURE;6;Cut Something
1;154;58513;58897;768.00;78.12;18.87;23.35;1;valid;GESTURE;6;Cut Something
1;155;58897;59287;780.00;76.92;36.70;31.34;1;valid;GESTURE;6;Cut Something
1;156;59287;59656;738.00;81.30;36.50;30.89;1;valid;GESTURE;6;Cut Something
1;157;59656;60004;696.00;86.21;32.82;34.74;1;valid;GESTURE;6;Cut Something
1;158;60004;60358;708.00;84.75;22.49;27.75;1;valid;GESTURE;6;Cut Something
1;159;60358;60729;742.00;80.86;22.78;18.38;1;valid;REST;-1;REST
1;160;60729;61102;746.00;80.43;15.17;17.64;1;valid;REST;-1;REST
1;161;61102;61472;740.00;81.08;4.47;5.10;1;valid;REST;-1;REST
1;162;61472;61839;734.00;81.74;13.04;13.82;1;valid;REST;-1;REST
1;163;61839;62208;738.00;81.30;29.48;24.96;1;valid;REST;-1;REST
1;164;62208;62564;712.00;84.27;57.89;82.79;1;valid;REST;-1;REST
1;165;62564;62899;670.00;89.55;57.96;96.19;1;valid;REST;-1;REST
1;166;62899;63313;828.00;72.46;59.18;96.64;1;valid;REST;-1;REST
1;167;63313;63678;730.00;82.19;57.61;94.35;1;valid;REST;-1;REST
1;168;63678;64059;762.00;78.74;35.64;51.59;1;valid;REST;-1;REST
1;169;64059;64442;766.00;78.33;14.83;16.43;1;valid;REST;-1;REST
1;170;64442;64824;764.00;78.53;7.54;10.68;1;valid;REST;-1;REST
1;171;64824;65203;758.00;79.16;16.65;15.20;1;valid;REST;-1;REST
1;172;65203;65592;778.00;77.12;25.12;17.64;1;valid;REST;-1;REST
1;173;65592;65992;800.00;75.00;23.28;27.26;1;valid;GESTURE;10;Flexion of Middle Finger
1;174;65992;66401;818.00;73.35;24.52;27.64;1;valid;GESTURE;10;Flexion of Middle Finger
1;175;66401;66789;776.00;77.32;24.52;28.05;1;valid;GESTURE;10;Flexion of Middle Finger
1;176;66789;67166;754.00;79.58;23.11;26.74;1;valid;GESTURE;10;Flexion of Middle Finger
1;177;67166;67555;778.00;77.12;23.11;32.53;1;valid;GESTURE;10;Flexion of Middle Finger
1;178;67555;67947;784.00;76.53;25.64;30.68;1;valid;GESTURE;10;Flexion of Middle Finger
1;179;67947;68311;728.00;82.42;27.07;28.30;1;valid;GESTURE;10;Flexion of Middle Finger
1;180;68311;68677;732.00;81.97;25.30;29.26;1;valid;GESTURE;10;Flexion of Middle Finger
1;181;68677;69045;736.00;81.52;7.69;13.11;1;valid;GESTURE;10;Flexion of Middle Finger
1;182;69045;69405;720.00;83.33;11.66;14.28;1;valid;GESTURE;10;Flexion of Middle Finger
1;183;69405;69775;740.00;81.08;19.39;28.72;1;valid;GESTURE;10;Flexion of Middle Finger
1;184;69775;70151;752.00;79.79;45.16;65.13;1;valid;GESTURE;10;Flexion of Middle Finger
1;185;70151;70502;702.00;85.47;43.67;77.96;1;valid;GESTURE;10;Flexion of Middle Finger
1;186;70502;70912;820.00;73.17;44.24;77.73;1;valid;GESTURE;10;Flexion of Middle Finger
1;187;70912;71278;732.00;81.97;47.74;74.74;1;valid;GESTURE;10;Flexion of Middle Finger
1;188;71278;71644;732.00;81.97;44.90;46.41;1;valid;GESTURE;10;Flexion of Middle Finger
1;189;71644;71997;706.00;84.99;13.01;16.34;1;valid;GESTURE;10;Flexion of Middle Finger
1;190;71997;72357;720.00;83.33;15.27;17.78;1;valid;REST;-1;REST
1;191;72357;72710;706.00;84.99;10.06;13.11;1;valid;REST;-1;REST
